cycle_id	birth	death	lifetime	died_by	len
0	2	512	510	path	3
1	4	346	342	new	3
2	6	253	247	new	3
3	8	346	338	path	3
4	9	410	401	new	3
5	12	243	231	new	3
6	12	497	485	new	3
7	14	394	380	new	3
8	15	389	374	path	3
9	15	355	340	new	3
10	16	253	237	path	3
11	18	245	227	new	3
12	19	253	234	path	3
13	20	346	326	path	3
14	22	341	319	new	3
15	25	179	154	new	3
16	27	243	216	path	3
17	28	300	272	new	3
18	29	643	614	new	3
19	29	214	185	new	3
20	29	245	216	path	3
21	29	440	411	new	3
22	30	646	616	path	3
23	30	197	167	new	3
24	30	329	299	new	3
25	30	471	441	new	3
26	30	282	252	new	3
27	32	389	357	path	3
28	36	169	133	new	3
29	37	748	711	path	3
30	37	240	203	new	3
31	37	369	332	new	3
32	38	406	368	new	3
33	39	355	316	path	3
34	40	282	242	path	3
35	40	172	132	new	3
36	40	505	465	new	3
37	40	407	367	new	3
38	42	346	304	path	3
39	42	346	304	path	3
40	43	482	439	new	3
41	44	343	299	new	3
42	44	302	258	new	3
43	46	368	322	new	3
44	46	224	178	new	3
45	47	369	322	path	3
46	49	313	264	new	3
47	51	514	463	new	3
48	55	512	457	path	3
49	55	549	494	path	3
50	56	550	494	new	3
51	58	425	367	path	3
52	61	242	181	new	3
53	61	380	319	path	3
54	64	514	450	path	3
55	64	341	277	path	3
56	64	329	265	path	3
57	65	271	206	new	3
58	65	328	263	new	3
59	67	503	436	path	3
60	70	254	184	new	3
61	74	288	214	new	3
62	74	303	229	new	3
63	78	300	222	path	3
64	78	291	213	new	3
65	80	633	553	path	3
66	80	282	202	path	3
67	80	251	171	new	3
68	81	451	370	path	3
69	83	512	429	path	3
70	89	440	351	path	3
71	89	341	252	path	3
72	95	552	457	path	3
73	95	282	187	path	3
74	97	239	142	new	3
75	97	330	233	new	3
76	104	285	181	new	3
77	104	451	347	path	3
78	108	646	538	path	3
79	109	540	431	path	3
80	109	498	389	new	3
81	110	305	195	path	3
82	111	370	259	new	3
83	114	368	254	path	3
84	114	404	290	new	3
85	114	460	346	new	3
86	115	257	142	new	3
87	116	306	190	new	3
88	117	457	340	new	3
89	117	281	164	new	3
90	118	370	252	new	3
91	119	748	629	new	3
92	120	337	217	new	3
93	120	453	333	path	3
94	121	300	179	new	3
95	124	359	235	path	3
96	124	368	244	path	3
97	125	305	180	path	3
98	128	290	162	new	3
99	130	287	157	new	3
100	131	402	271	new	3
101	132	601	469	new	3
102	133	439	306	new	3
103	134	360	226	new	3
104	135	413	278	new	3
105	136	379	243	new	3
106	136	634	498	new	3
107	138	272	134	new	3
108	139	368	229	path	3
109	140	288	148	new	3
110	142	388	246	new	3
111	142	378	236	new	3
112	142	502	360	new	3
113	145	448	303	new	3
114	146	291	145	new	3
115	146	359	213	new	3
116	146	342	196	new	3
117	147	314	167	new	3
118	147	495	348	new	3
119	147	467	320	new	3
120	148	282	134	new	3
121	149	470	321	new	3
122	149	311	162	new	3
123	150	453	303	path	3
124	150	510	360	new	3
125	150	359	209	path	3
126	150	334	184	new	3
127	151	471	320	new	3
128	152	364	212	new	3
129	152	317	165	new	3
130	152	471	319	path	3
131	152	537	385	path	3
132	152	449	297	new	3
133	153	309	156	new	3
134	153	454	301	new	3
135	153	347	194	new	3
136	153	471	318	path	3
137	154	288	134	new	3
138	155	352	197	new	3
139	155	380	225	path	3
140	156	522	366	new	3
141	156	333	177	new	3
142	156	434	278	new	3
143	156	356	200	new	3
144	156	511	355	new	3
145	156	769	613	path	3
146	156	368	212	new	3
147	157	343	186	new	3
148	157	700	543	new	3
149	158	370	212	new	3
150	158	370	212	new	3
151	161	386	225	new	3
152	161	295	134	new	3
153	162	698	536	new	3
154	163	439	276	path	3
155	163	717	554	new	3
156	164	377	213	new	3
157	166	299	133	new	3
158	167	362	195	new	3
159	168	428	260	new	3
160	170	331	161	new	3
161	171	391	220	new	3
162	176	312	136	new	3
163	177	346	169	new	3
164	179	323	144	new	3
165	181	366	185	new	3
166	181	440	259	path	3
167	182	500	318	path	3
168	182	368	186	path	3
169	182	342	160	new	3
170	183	530	347	path	3
171	184	448	264	new	3
172	184	348	164	new	3
173	185	334	149	new	3
174	185	691	506	new	3
175	186	348	162	new	3
176	189	386	197	new	3
177	189	540	351	path	3
178	193	494	301	path	3
179	194	748	554	new	3
180	194	370	176	path	3
181	194	540	346	path	3
182	194	397	203	new	3
183	196	424	228	new	3
184	196	703	507	new	3
185	197	399	202	new	3
186	197	684	487	path	3
187	198	413	215	new	3
188	199	662	463	new	3
189	200	471	271	path	3
190	200	332	132	new	3
191	200	378	178	new	3
192	201	638	437	new	3
193	202	355	153	new	3
194	202	403	201	path	3
195	205	606	401	new	3
196	207	612	405	new	3
197	209	458	249	path	3
198	209	621	412	new	3
199	209	413	204	path	3
200	209	412	203	new	3
201	210	358	148	new	3
202	210	412	202	new	3
203	211	458	247	new	3
204	211	345	134	new	3
205	212	522	310	new	3
206	212	407	195	path	3
207	212	413	201	new	3
208	215	666	451	path	3
209	217	439	222	new	3
210	221	434	213	new	3
211	222	537	315	path	3
212	224	400	176	new	3
213	224	360	136	new	3
214	224	370	146	path	3
215	226	523	297	new	3
216	226	440	214	new	3
217	226	466	240	new	3
218	228	470	242	path	3
219	230	470	240	path	3
220	231	415	184	new	3
221	231	446	215	new	3
222	231	363	132	new	3
223	231	510	279	path	3
224	231	482	251	path	3
225	233	412	179	new	3
226	236	424	188	path	3
227	236	450	214	new	3
228	237	542	305	path	3
229	238	494	256	path	3
230	238	567	329	new	3
231	238	474	236	new	3
232	238	391	153	new	3
233	238	494	256	path	3
234	239	540	301	path	3
235	240	483	243	new	3
236	240	414	174	new	3
237	242	376	134	new	3
238	242	477	235	path	3
239	242	698	456	new	3
240	243	748	505	path	3
241	244	728	484	path	3
242	244	400	156	new	3
243	245	460	215	new	3
244	245	385	140	new	3
245	246	397	151	new	3
246	246	662	416	path	3
247	246	466	220	new	3
248	246	394	148	new	3
249	246	756	510	path	3
250	247	712	465	new	3
251	247	434	187	path	3
